task_id,tier,genre,page,ylt.DOMelementsCount,ylt.DOMelementMaxDepth,ylt.iframesCount,ylt.cssRules,ylt.cssSelectors,ylt.cssDeclarations,ylt.cssComplexSelectors,ylt.cssSpecificityIdAvg,ylt.cssDuplicatedSelectors,ylt.cssImportants,ylt.cssEmptyRules,ylt.cssColors,ylt.nodesWithInlineCSS,svg_path_count,gradient_count,html_bytes,css_bytes,jpeg_proxy_bytes_per_kpixel,edge_density
synth-t1-copper-kettle-suppers-16cf,1,recipe-card,about-the-cook,43.0000,6.0000,0.0000,111.0000,129.0000,351.0000,1.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,1.0000,5916.0000,2812.0000,54.8356,0.0249
synth-t1-copper-kettle-suppers-16cf,1,recipe-card,featured-recipe,55.0000,6.0000,0.0000,113.0000,131.0000,360.0000,1.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,1.0000,7189.0000,3091.0000,56.0758,0.0245
synth-t1-copper-kettle-suppers-16cf,1,recipe-card,ingredients,83.0000,6.0000,0.0000,109.0000,127.0000,354.0000,1.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,1.0000,7293.0000,2870.0000,56.1111,0.0236
synth-t1-copper-kettle-suppers-16cf,1,recipe-card,method,73.0000,6.0000,0.0000,109.0000,127.0000,340.0000,2.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,7771.0000,2420.0000,67.6262,0.0330
synth-t1-copper-kettle-suppers-16cf,1,recipe-card,tips-and-swaps,88.0000,8.0000,0.0000,109.0000,127.0000,340.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,1.0000,0.0000,0.0000,8171.0000,2460.0000,61.2783,0.0299
synth-t1-maren-solvik-design-a2db,1,portfolio,about,58.0000,5.0000,0.0000,88.0000,109.0000,284.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,1.0000,5984.0000,2184.0000,58.1227,0.0298
synth-t1-maren-solvik-design-a2db,1,portfolio,clients,84.0000,5.0000,0.0000,89.0000,110.0000,273.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,6013.0000,1893.0000,46.3051,0.0237
synth-t1-maren-solvik-design-a2db,1,portfolio,contact,58.0000,6.0000,0.0000,88.0000,109.0000,282.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,5093.0000,2108.0000,51.7295,0.0240
synth-t1-maren-solvik-design-a2db,1,portfolio,process,56.0000,5.0000,0.0000,88.0000,109.0000,278.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,5649.0000,1995.0000,59.4179,0.0265
synth-t1-maren-solvik-design-a2db,1,portfolio,work,76.0000,5.0000,0.0000,97.0000,118.0000,297.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0000,0.0000,0.0000,5.0000,7330.0000,2859.0000,46.3646,0.0205
synth-t2-brackwater-marsh-conservancy-945d,2,nonprofit,contact,211.0000,8.0000,0.0000,160.0000,178.0000,492.0000,1.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0000,0.0000,1.0000,15123.0000,3958.0000,88.8379,0.0512
synth-t2-brackwater-marsh-conservancy-945d,2,nonprofit,grants,277.0000,7.0000,0.0000,157.0000,175.0000,491.0000,1.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,17247.0000,3994.0000,87.0597,0.0557
synth-t2-brackwater-marsh-conservancy-945d,2,nonprofit,mission,140.0000,7.0000,0.0000,160.0000,178.0000,504.0000,1.0000,0.0000,0.0000,0.0000,0.0000,18.0000,3.0000,0.0000,4.0000,12863.0000,4628.0000,96.3071,0.0480
synth-t2-brackwater-marsh-conservancy-945d,2,nonprofit,volunteer,165.0000,7.0000,0.0000,155.0000,173.0000,475.0000,1.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,12724.0000,3460.0000,92.7564,0.0503
synth-t2-brackwater-marsh-conservancy-945d,2,nonprofit,wetlands,185.0000,7.0000,0.0000,159.0000,177.0000,509.0000,1.0000,0.0000,0.0000,0.0000,0.0000,10.0000,13.0000,0.0000,0.0000,16712.0000,4851.0000,101.1350,0.0582
synth-t2-ironclad-summit-dev-c9a0,2,conference,home,107.0000,7.0000,0.0000,196.0000,222.0000,662.0000,3.0000,0.0000,0.0000,0.0000,0.0000,28.0000,3.0000,0.0000,3.0000,11402.0000,5728.0000,71.9078,0.0306
synth-t2-ironclad-summit-dev-c9a0,2,conference,register,141.0000,6.0000,0.0000,198.0000,224.0000,656.0000,3.0000,0.0000,0.0000,0.0000,0.0000,24.0000,2.0000,0.0000,0.0000,12962.0000,5347.0000,77.2112,0.0384
synth-t2-ironclad-summit-dev-c9a0,2,conference,schedule,229.0000,8.0000,0.0000,193.0000,219.0000,636.0000,3.0000,0.0000,0.0000,0.0000,0.0000,24.0000,2.0000,0.0000,0.0000,15794.0000,4609.0000,79.3458,0.0400
synth-t2-ironclad-summit-dev-c9a0,2,conference,speakers,136.0000,7.0000,0.0000,193.0000,219.0000,631.0000,3.0000,0.0000,0.0000,0.0000,0.0000,24.0000,2.0000,0.0000,0.0000,13391.0000,4485.0000,78.8389,0.0422
synth-t2-ironclad-summit-dev-c9a0,2,conference,venue,146.0000,6.0000,0.0000,210.0000,236.0000,713.0000,3.0000,0.0000,0.0000,0.0000,0.0000,27.0000,9.0000,0.0000,2.0000,14619.0000,7330.0000,71.9971,0.0403
synth-t3-oblique-flux-studio-dcf5,3,agency,contact,250.0000,11.0000,0.0000,288.0000,314.0000,1017.0000,7.0000,0.0000,0.0000,0.0000,0.0000,23.0000,7.0000,0.0000,5.0000,19695.0000,8307.0000,72.3557,0.0338
synth-t3-oblique-flux-studio-dcf5,3,agency,process,373.0000,9.0000,0.0000,292.0000,319.0000,1008.0000,9.0000,0.0000,0.0000,0.0000,0.0000,23.0000,5.0000,0.0000,5.0000,30672.0000,8090.0000,82.6767,0.0395
synth-t3-oblique-flux-studio-dcf5,3,agency,services,241.0000,9.0000,0.0000,292.0000,318.0000,1022.0000,9.0000,0.0000,0.0000,0.0000,0.0000,25.0000,2.0000,0.0000,5.0000,22059.0000,8486.0000,76.3781,0.0349
synth-t3-oblique-flux-studio-dcf5,3,agency,studio,240.0000,9.0000,0.0000,294.0000,320.0000,1020.0000,7.0000,0.0000,0.0000,0.0000,0.0000,24.0000,2.0000,0.0000,5.0000,19646.0000,8440.0000,86.8542,0.0370
synth-t3-oblique-flux-studio-dcf5,3,agency,work,268.0000,8.0000,0.0000,289.0000,315.0000,1008.0000,10.0000,0.0000,0.0000,0.0000,0.0000,28.0000,1.0000,0.0000,7.0000,21735.0000,7912.0000,87.7616,0.0348
synth-t4-lumivex-signal-boost-c799,4,marketing-landing,ignite,235.0000,8.0000,0.0000,271.0000,298.0000,1081.0000,6.0000,0.0000,0.0000,0.0000,0.0000,64.0000,12.0000,0.0000,33.0000,22920.0000,11760.0000,59.4541,0.0298
synth-t4-lumivex-signal-boost-c799,4,marketing-landing,onboard,177.0000,9.0000,0.0000,262.0000,289.0000,1052.0000,6.0000,0.0000,0.0000,0.0000,0.0000,54.0000,24.0000,0.0000,32.0000,20857.0000,11139.0000,69.8133,0.0309
synth-t4-lumivex-signal-boost-c799,4,marketing-landing,platform,404.0000,12.0000,0.0000,300.0000,327.0000,1214.0000,6.0000,0.0000,0.0000,0.0000,0.0000,66.0000,12.0000,0.0000,31.0000,37489.0000,15476.0000,70.5000,0.0381
synth-t4-lumivex-signal-boost-c799,4,marketing-landing,pricing,215.0000,6.0000,0.0000,274.0000,303.0000,1104.0000,10.0000,0.0800,0.0000,0.0000,0.0000,56.0000,4.0000,0.0000,34.0000,25739.0000,12378.0000,56.5412,0.0284
synth-t4-lumivex-signal-boost-c799,4,marketing-landing,results,269.0000,8.0000,0.0000,280.0000,307.0000,1099.0000,6.0000,0.0000,0.0000,0.0000,0.0000,63.0000,11.0000,0.0000,31.0000,25599.0000,12083.0000,68.1047,0.0371
