task_id,tier,genre,page,ylt.DOMelementsCount,ylt.DOMelementMaxDepth,ylt.iframesCount,ylt.cssRules,ylt.cssSelectors,ylt.cssDeclarations,ylt.cssComplexSelectors,ylt.cssSpecificityIdAvg,ylt.cssDuplicatedSelectors,ylt.cssImportants,ylt.cssEmptyRules,ylt.cssColors,ylt.nodesWithInlineCSS,svg_path_count,gradient_count,html_bytes,css_bytes,jpeg_proxy_bytes_per_kpixel,edge_density
synth-t4-luminos-ai-copilot-055c,4,marketing-landing,how-it-works,127.0000,9.0000,0.0000,87.0000,90.0000,357.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,3.0000,0.0000,10.0000,17790.0000,11127.0000,59.7488,0.0246
synth-t4-luminos-ai-copilot-055c,4,marketing-landing,pricing,144.0000,8.0000,0.0000,85.0000,86.0000,338.0000,8.0000,0.0800,0.0000,0.0000,0.0000,26.0000,1.0000,0.0000,8.0000,16698.0000,9894.0000,55.8405,0.0216
synth-t4-obsidian-cove-retreat-6f74,4,hotel-resort,dining,163.0000,7.0000,0.0000,108.0000,116.0000,439.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.0000,3.0000,0.0000,14.0000,22787.0000,14232.0000,49.5833,0.0255
synth-t4-obsidian-cove-retreat-6f74,4,hotel-resort,experiences,136.0000,6.0000,0.0000,70.0000,77.0000,260.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,0.0000,0.0000,11.0000,16306.0000,9035.0000,51.0812,0.0285
synth-t4-obsidian-cove-retreat-6f74,4,hotel-resort,reserve,154.0000,9.0000,0.0000,94.0000,105.0000,391.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,3.0000,0.0000,8.0000,20064.0000,12441.0000,49.2959,0.0197
synth-t4-obsidian-cove-retreat-6f74,4,hotel-resort,sanctuary,118.0000,7.0000,0.0000,101.0000,105.0000,407.0000,1.0000,0.0000,0.0000,0.0000,0.0000,33.0000,2.0000,0.0000,13.0000,19147.0000,13241.0000,50.0210,0.0250
synth-t4-obsidian-cove-retreat-6f74,4,hotel-resort,suites,146.0000,7.0000,0.0000,95.0000,99.0000,315.0000,1.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,13.0000,18688.0000,10661.0000,47.8779,0.0239
synth-t5-obsidian-fold-gallery-6047,5,gallery-exhibition,artists,246.0000,7.0000,0.0000,87.0000,91.0000,328.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,1.0000,0.0000,4.0000,23822.0000,10633.0000,71.1386,0.0430
synth-t5-obsidian-fold-gallery-6047,5,gallery-exhibition,catalogue,263.0000,7.0000,0.0000,115.0000,118.0000,473.0000,3.0000,0.0000,0.0000,0.0000,0.0000,18.0000,7.0000,0.0000,2.0000,26076.0000,13243.0000,75.8781,0.0450
synth-t5-obsidian-fold-gallery-6047,5,gallery-exhibition,collection,180.0000,7.0000,0.0000,88.0000,89.0000,306.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,2.0000,0.0000,12.0000,19838.0000,10442.0000,76.9409,0.0401
synth-t5-obsidian-fold-gallery-6047,5,gallery-exhibition,manifesto,136.0000,6.0000,0.0000,74.0000,75.0000,323.0000,2.0000,0.0000,0.0000,0.0000,0.0000,9.0000,1.0000,0.0000,1.0000,21946.0000,9924.0000,88.6123,0.0502
synth-t5-obsidian-fold-gallery-6047,5,gallery-exhibition,visit,156.0000,7.0000,0.0000,79.0000,86.0000,319.0000,3.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.0000,0.0000,1.0000,18865.0000,10284.0000,72.5183,0.0378
synth-t6-ironclad-maritime-registry-65fc,6,application-form,compliance-audit,467.0000,8.0000,0.0000,101.0000,125.0000,403.0000,12.0000,0.0000,0.0000,0.0000,0.0000,12.0000,3.0000,0.0000,3.0000,28608.0000,12722.0000,89.0367,0.0503
synth-t6-ironclad-maritime-registry-65fc,6,application-form,crew-certification,440.0000,9.0000,0.0000,94.0000,113.0000,366.0000,15.0000,0.0000,0.0000,1.0000,0.0000,18.0000,4.0000,0.0000,3.0000,27159.0000,11977.0000,100.5401,0.0531
synth-t6-ironclad-maritime-registry-65fc,6,application-form,fee-schedule,407.0000,7.0000,0.0000,104.0000,130.0000,384.0000,15.0000,0.0000,0.0000,0.0000,0.0000,13.0000,3.0000,0.0000,3.0000,26491.0000,12341.0000,94.8437,0.0592
synth-t6-ironclad-maritime-registry-65fc,6,application-form,vessel-registration,431.0000,8.0000,0.0000,102.0000,122.0000,411.0000,15.0000,0.0000,0.0000,0.0000,0.0000,16.0000,6.0000,0.0000,3.0000,27724.0000,12521.0000,86.5480,0.0464
synth-t6-ironclad-maritime-registry-65fc,6,application-form,voyage-manifest,417.0000,7.0000,0.0000,99.0000,113.0000,378.0000,14.0000,0.0000,0.0000,0.0000,0.0000,18.0000,0.0000,0.0000,3.0000,24615.0000,10461.0000,91.8375,0.0468
synth-t7-deep-current-oceandata-4351,7,infographic,ocean-health,630.0000,7.0000,0.0000,311.0000,344.0000,1062.0000,1.0000,0.0000,0.0000,0.0000,0.0000,44.0000,14.0000,262.0000,0.0000,46816.0000,1354.0000,74.5871,0.0494
synth-t7-deep-current-oceandata-4351,7,infographic,plastic-crisis,537.0000,8.0000,0.0000,316.0000,349.0000,1082.0000,1.0000,0.0000,0.0000,0.0000,0.0000,43.0000,15.0000,110.0000,0.0000,35854.0000,1970.0000,67.9774,0.0431
synth-t7-deep-current-oceandata-4351,7,infographic,species-atlas,847.0000,9.0000,0.0000,314.0000,347.0000,1104.0000,1.0000,0.0000,0.0000,0.0000,0.0000,44.0000,24.0000,389.0000,0.0000,55917.0000,2431.0000,54.9536,0.0293
synth-t7-deep-current-oceandata-4351,7,infographic,take-action,610.0000,9.0000,0.0000,322.0000,355.0000,1122.0000,1.0000,0.0000,0.0000,0.0000,0.0000,52.0000,13.0000,216.0000,3.0000,50455.0000,2857.0000,69.6485,0.0498
synth-t7-deep-current-oceandata-4351,7,infographic,temperature-rise,557.0000,9.0000,0.0000,311.0000,344.0000,1062.0000,1.0000,0.0000,0.0000,0.0000,0.0000,42.0000,7.0000,153.0000,0.0000,38388.0000,1125.0000,66.4324,0.0415
synth-t8-folio-obscura-press-89f5,8,design-magazine,archive-index,359.0000,6.0000,0.0000,221.0000,245.0000,802.0000,4.0000,0.0000,0.0000,0.0000,0.0000,15.0000,16.0000,16.0000,0.0000,19048.0000,1985.0000,89.6719,0.0772
synth-t8-folio-obscura-press-89f5,8,design-magazine,cover-story,288.0000,7.0000,0.0000,216.0000,240.0000,790.0000,4.0000,0.0000,0.0000,0.0000,0.0000,14.0000,13.0000,67.0000,0.0000,20182.0000,1402.0000,108.4578,0.0770
synth-t8-folio-obscura-press-89f5,8,design-magazine,grid-dispatch,361.0000,8.0000,0.0000,235.0000,259.0000,851.0000,5.0000,0.0000,0.0000,0.0000,0.0000,15.0000,18.0000,34.0000,0.0000,23152.0000,3000.0000,108.6324,0.0795
synth-t8-folio-obscura-press-89f5,8,design-magazine,object-study,297.0000,7.0000,0.0000,251.0000,275.0000,925.0000,18.0000,0.0000,0.0000,0.0000,0.0000,26.0000,13.0000,34.0000,9.0000,24085.0000,6381.0000,93.1412,0.0685
synth-t8-folio-obscura-press-89f5,8,design-magazine,type-lab,312.0000,8.0000,0.0000,219.0000,243.0000,806.0000,4.0000,0.0000,0.0000,0.0000,0.0000,15.0000,14.0000,33.0000,0.0000,17923.0000,1902.0000,90.6547,0.0644
